archivo,latitud,longitud,localidad,alcaldia_cercana,dist_alcaldia_m,dist_troncal_m,dist_camara_m
4bae11b8a58c45a985334a672d26e72b.jpg,4.63367,-74.07383,TEUSAQUILLO,Alcaldía Local de Teusaquillo,497,3,1745
045fdae0003b4834927bce13655bf347.jpg,4.598110833333333,-74.07304722222221,CANDELARIA,Alcaldía Local de La Candelaria,270,6,922
111a456554a147d49d7d47c0a44aaaf9.jpeg,4.0,-74.0,,Alcaldía Local de Sumapaz,28636,46271,64961
ec37ffec8ac54790a89c042fae027c6f.jpg,4.63366,-74.07398,TEUSAQUILLO,Alcaldía Local de Teusaquillo,500,2,1755
7b299f6b6d644eaf9cf7bfac2265112e.jpeg,4.705502777777778,-74.04229722222222,USAQUEN,Alcaldía Local de Usaquén,1669,35,1269
dd1f202c438b437dbfc63f5b2e92bacd.jpg,4.5943,-74.0799,CANDELARIA,Alcaldía Local de La Candelaria,1116,85,1490
9323a914f4694b879a06f2f5f2355623.jpg,4.6023,-74.075,SANTA FE,Alcaldía Local de La Candelaria,439,2,467
daa7091e966c432c82c8d4bf9c9b8990.jpeg,4.5943,-74.0762,CANDELARIA,Alcaldía Local de La Candelaria,816,98,1360
96f04d440eb14cf590fa929ac118d522.jpeg,4.738730555555556,-74.05739722222222,SUBA,Alcaldía Local de Suba,2971,112,1758
c42f9fa185bf40448d1c2e833f71f066.jpeg,4.6023,-74.0662,CANDELARIA,Alcaldía Local de Santafé,642,66,976
218e91a681d24e8abbc8b1e9f672a3c2.jpg,4.7304,-74.0623,SUBA,Alcaldía Local de Suba,2674,135,1525
aa06606d876047e4809ebbd1cb2702d1.jpg,4.593,-74.0796,CANDELARIA,Alcaldía Local de La Candelaria,1180,159,1607
a7f58a501bda43c8a33b4903778a3c88.jpeg,4.752980555555555,-74.08515277777778,SUBA,Alcaldía Local de Suba,1364,5,1374
503bce24384d4fe1a11df87686b67ee7.jpeg,4.666358333333334,-74.07870555555556,BARRIOS UNIDOS,Alcaldía Local de Barrios Unidos,1057,34,531
2fd7a65c6ec54944b28607550f14a416.jpg,4.5933,-74.0775,CANDELARIA,Alcaldía Local de La Candelaria,993,170,1500
7dfef5719abe45ae80fb88158e0d4d20.jpeg,4.6965,-74.0583,SUBA,Alcaldía Local de Usaquén,2986,291,278
c3a3b6e602c0401681f5f7ad4ac5da6f.jpeg,4.5929,-74.0793,CANDELARIA,Alcaldía Local de La Candelaria,1163,194,1605
51809f5d872f4992804260e1442e188c.jpg,4.7304,-74.0624,SUBA,Alcaldía Local de Suba,2664,124,1516
81546b4779e64973bf576bc58041b1d3.jpg,4.597109722222222,-74.07356083333333,CANDELARIA,Alcaldía Local de La Candelaria,394,4,1028
1af10532ffcf490fb529ec76c60b4a79.jpeg,4.705666666666667,-74.041825,USAQUEN,Alcaldía Local de Usaquén,1644,88,1313
3aca81d3222949c6acfaaffe7bc82d4a.jpeg,4.671029,-74.049879,CHAPINERO,Alcaldía Local de Usaquén,3356,44,893
e50e8457a3494841a89b53067176c19f.jpeg,4.738566666666666,-74.05756388888888,SUBA,Alcaldía Local de Suba,2954,134,1784
17586ffb09274565a9e3e543c258de31.jpeg,4.5997,-74.0733,CANDELARIA,Alcaldía Local de La Candelaria,185,121,744
dfd543f431784222bb9238a72fd239f5.jpeg,4.5933,-74.0768,CANDELARIA,Alcaldía Local de La Candelaria,945,101,1481
97e1aeb609a645d7b5e12d938b4ea9e2.jpeg,4.752569444444444,-74.08464166666666,SUBA,Alcaldía Local de Suba,1315,3,1403
85fcddb63ba447f4ae5e41df7b75573b.jpeg,4.605753,-74.073796,SANTA FE,Alcaldía Local de Santafé,414,4,74
59de7f42961e4fa68918dba9098ba3bd.jpeg,4.736986111111111,-74.06404166666667,SUBA,Alcaldía Local de Suba,2264,23,1776
4410e948e3434641861cba9e64c09daf.jpg,4.593,-74.0797,CANDELARIA,Alcaldía Local de La Candelaria,1189,148,1611
