X,Y,FID,OBJECTID_1,ID_CÁMARA,NOMBRE_DEL,LONGITUD,LATITUD,DIRECCIÓN,NÚMERO_DE,VELOCIDADM,CORREDOR_P,VIA_SECUND,SENTIDO,CALZADA,CARRILES,LOCALIDAD,INFRACCION
-8253256.7697,514370.0167,1,1,DEI-001/CAM-01,AV 1 DE MAYO - AV BOYACA (N-S) C. RAP,-74.140267,4.615664,AV BOYACÁ - CL 35 SUR (N-S),MT-20194000619861 Diciembre 13 de 2019,50,Av. Boyacá,Av. Primero de Mayo,(Norte - Sur),Rápida,2,Kennedy,C.29 - C.14 - C.35 - D.02
-8253256.1018,514340.309300002,2,2,DEI-001/CAM-02,AV 1 DE MAYO - AV BOYACA (S-N) C. RAP,-74.140261,4.615398,AV BOYACÁ - CL 35 SUR (S-N),MT-20194000619861 Diciembre 13 de 2019,50,Av. Boyacá,Av. Primero de Mayo,(Sur - Norte),Rápida,2,Kennedy,C.29 - C.14 - C.35 - D.02
-8253002.182,515813.962299999,3,3,DEI-002/CAM-01,AV BOYACA - AV AMERICAS (N-S) C. RAP,-74.13798,4.628593,AV BOYACÁ - CL 5A (N-S),MT-20194000619861 Diciembre 13 de 2019,50,Av. Boyacá,Av. Américas,(Norte - Sur),Rápida,2,Kennedy,C.29 - C.14 - C.35 - D.02
-8252994.9463,515801.2304,4,4,DEI-002/CAM-02,AV BOYACA - AV AMERICAS (S-N) C. RAP,-74.137915,4.628479,AV BOYACÁ - CL 5A (S-N),MT-20194000619861 Diciembre 13 de 2019,50,Av. Boyacá,Av. Américas,(Sur - Norte),Rápida,2,Kennedy,C.29 - C.14 - C.35 - D.02
-8251340.6273,515670.7839,5,5,DEI-003/CAM-01,AK 68 - AV AMERICAS (S-N) C. RAP,-74.123054,4.627311,AK 68 - CL 4D (S-N),MT-20194000619861 Diciembre 13 de 2019,50,Av. Carrera 68,Av. Américas,(Sur - Norte),Rápida,2,Puente Aranda,C.29 - C.14 - C.35 - D.02
-8251332.835,515700.715100002,6,6,DEI-003/CAM-02,AK 68 - AV AMERICAS (N-S) C. RAP,-74.122984,4.627579,AK 68 - CL 4D (N-S),MT-20194000619861 Diciembre 13 de 2019,50,Av. Carrera 68,Av. Américas,(Norte - Sur),Rápida,2,Puente Aranda,C.29 - C.14 - C.35 - D.02
-8250158.92639975,528986.622938722,7,7,DEI-004/CAM-01,CL 139 - TV 136 (O-E),-74.1124386,4.7465292,CL 139 - KR 131 (E-O),MT-20194000619861 Diciembre 13 de 2019,30,Calle 139,TV 136,(Oriente - Occidente),Única,2,Suba,C.29 - C.14 - C.35 - D.02
-8251654.32564738,511264.544791066,8,8,DEI-005/CAM-01,KR 33 - CL 41 SUR (S-N),-74.125872,4.587857,KR 33 - CL 41 SUR (S-N),MT-20194000619861 Diciembre 13 de 2019,30,Av. Gaitán Cortés,CL 41 Sur,(Sur - Norte),Única,2,Rafael Uribe Uribe,C.29 - C.14 - C.35 - D.02
-8251654.32564738,511264.544791066,9,9,DEI-005/CAM-02,KR 33 - CL 41 SUR (N-S),-74.125872,4.587857,KR 33 - CL 41 SUR (N-S),MT-20194000619861 Diciembre 13 de 2019,30,Av. Gaitán Cortés,CL 41 Sur,(Norte - Sur),Única,2,Rafael Uribe Uribe,C.29 - C.14 - C.35 - D.02
-8253826.05759326,511833.096061668,10,10,DEI-006/CAM-01,AV BOYACA - AUTP. SUR (N-S) C. RAP,-74.145381,4.592948,AV BOYACÁ - DG 49 SUR (N-S),MT-20194000641171 Diciembre 26 de 2019.,50,Av. Boyacá,Autopista Sur,(Norte - Sur),Rápida,2,Tunjuelito,C.29 - C.14 - C.35 - D.02
-8253817.93127043,511835.776336548,11,11,DEI-006/CAM-02,AV BOYACA - AUTP. SUR (S-N) C. RAP,-74.145308,4.592972,AV BOYACÁ - DG 49 SUR (S-N),MT-20194000641171 Diciembre 26 de 2019.,50,Av. Boyacá,Autopista Sur,(Sur - Norte),Rápida,4,Tunjuelito,C.29 - C.14 - C.35 - D.02
-8249550.83254935,520534.527874701,12,12,DEI-007/CAM-01,AV BOYACA - CL 53 (N-S) C. LEN,-74.106976,4.670859,AV BOYACÁ - CL 53 (N-S),MT-20194000641171 Diciembre 26 de 2019.,50,Av. Boyacá,CL 53,(Norte - Sur),Rápida,2,Engativá,C.29
-8249516.54614618,520629.688172257,13,13,DEI-007/CAM-02,AV BOYACA - CL 53 (S-N) C. LEN,-74.106668,4.671711,AV BOYACÁ - CL 52 (S-N),MT-20194000641171 Diciembre 26 de 2019.,50,Av. Boyacá,CL 53,(Sur - Norte),Rápida,2,Engativá,C.29
-8249094.97923455,521102.475731657,14,14,DEI-007/CAM-03,AV BOYACA - CL 63D (S-N),-74.102881,4.675944,AV BOYACÁ - CL 63D (S-N),MT-20194000641171 Diciembre 26 de 2019.,50,Av. Boyacá,CL 63D,(Sur - Norte),Lenta,2,Engativá,C.29
-8257682.72135179,513133.26333252,15,15,DEI-008/CAM-01,CL 59 SUR - KR 78F (O-E),-74.180026,4.60459,AV BOSA - KR 78F (O-E),MT-20194000641171 Diciembre 26 de 2019.,50,Av. Bosa,KR 78F,(Occidente - Oriente),Única,3,Bosa,C.29 - C.14 - C.35 - D.02
-8257664.465,513141.527600002,16,16,DEI-008/CAM-02,CL 59 SUR - KR 78F (E-O),-74.179862,4.604664,AV BOSA - KR 78F (E-O),MT-20194000641171 Diciembre 26 de 2019.,50,Av. Bosa,KR 78F,(Oriente - Occidente),Única,3,Bosa,C.29 - C.14 - C.35 - D.02
-8245860.92538802,526346.332029463,17,17,DEI-009/CAM-01,AV BOYACA - AV SUBA (N-S) C. RAP,-74.073829,4.722892,AV BOYACÁ - CL 131 (N-S),MT-20194000641171 Diciembre 26 de 2019.,50,Av. Boyacá,Av. Suba,(Norte - Sur),Rápida,5,Suba,C.29 - C.14 - C.35 - D.02
-8245862.48386089,526321.311512126,18,18,DEI-009/CAM-02,AV BOYACA - AV SUBA (S-N),-74.073843,4.722668,AV BOYACÁ - CL 131 (S-N),MT-20194000641171 Diciembre 26 de 2019.,50,Av. Boyacá,Av. Suba,(Sur - Norte),Única,5,Suba,C.29 - C.14 - C.35 - D.02
-8244091.39076237,521973.560506203,19,19,DEI-010/CAM-01,AUTONORTE - CL 94 (N-S) C. RAP,-74.057933,4.683743,AUTP. NORTE - CL 95 (N-S),MT-20194000641171 Diciembre 26 de 2019.,60,Autopista Norte,CL 94,(Norte - Sur),Rápida,3,Barrios Unidos,C.29 - C.14 - C.35 - D.02
-8244110.4263953,521974.90081594,20,20,DEI-010/CAM-02,AUTONORTE - CL 94 (N-S) C. LEN,-74.058104,4.683755,AUTP. NORTE - CL 95 (N-S),MT-20194000641171 Diciembre 26 de 2019.,60,Autopista Norte,CL 94,(Norte - Sur),Lenta,3,Barrios Unidos,C.29 - C.14 - C.35 - D.02
